"",Arbitragem
Arbitro:,Luiz Flavio de Oliveira (ASP-FIFA / SP)
Arbitro Assistente 1:,Altemir Hausmann (FIFA / RS)
Arbitro Assistente 2:,Kleber Lucio Gil (FIFA / SC)
Quarto Arbitro:,Guilherme Ceretta de Lima (ASP-FIFA / SP)
Delegado:,Nilson de Souza Monção (  / SP)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,20:55Atraso:,,Não Houve Entrada do mandante: 22:01,Atraso:,,Não Houve
Entrada do visitante:,20:56Atraso:,,Não Houve Entrada do visitante: 22:02,Atraso:,,Não Houve
Início 1o Tempo:,21:00 Atraso:,,Não Houve Início do 2o Tempo: 22:03,Atraso:,,Não Houve
Término do 1o Tempo:,21:48 Acréscimo:,,3 min Término do 2o Tempo: 22:52,Acréscimo:,,4 min
Resultado do 1o Tempo: 2 X 1,,,Resultado Final: 3 X 2,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,20:55,Atraso:,Não Houve Entrada do mandante:,22:01,Atraso:,Não Houve
Início 1o Tempo:,21:00,Atraso:,Não Houve,Início do 2o Tempo:,22:03,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
12,Alessandro,Alessandro Felipe Ol ...,T P,173081,1,Renan,Renan Brito Soares,T P,155703
"",,Comissão Técnica,
"",Vasco da Gama / RJ,,Goiás / GO
Tecnico:,Dorival Silvestre Jr. - 12969204,Tecnico:,Enderson Alves Moreira - 006236
Auxiliar Tecnico:,Lucas Khodor Silvestre - 46064752,Auxiliar Tecnico:,Luiz Fernando Rosa Flores - 13282344
Medico:,Dr. Claudio Vinicio Servo De Luca - 52720453,Medico:,Dr. Bruino Rafael Silva Favaron - 15731
Preparador Fisico:,Celso De Rezende - 003756,Preparador Fisico:,Robson Luiz Martins Gomes - 009813-G
Massagista:,Frederico De Oliveira Meirelles - 75701-F,Massagista:,Marcos Vinicius Souza Duarte - 4550132
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
13:00,2T,Goiás/GO,,14 - Thiago Henrique Mendes Ri ...,7 - Ronei Gleison Rodrigues d ...
20:00,2T,Goiás/GO,,9 - Welinton Junior Ferreira  ...,18 - Walter Henrique da Silva
21:00,2T,Vasco da Gama/RJ,,93 - Willie Hortencio Barbosa,84 - Sandro Laurindo da Silva
29:00,2T,Goiás/GO,,17 - Luiz Severo Junior,11 - Eduardo Colcenti Antunes
29:00,2T,Vasco da Gama/RJ,,30 - Johnath Marlone Azevedo d ...,29 - Jhon Cley Jesus Silva
35:00,2T,Vasco da Gama/RJ,,10 - Pedro Ken Marimoto Moreir ...,15 - Fillipe Soutto Mayor Nogu ...
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
02:00,1T,39,NR,Thalles Lima da Conceição Penha,,Vasco da Gama/RJ
16:00,1T,39,NR,Thalles Lima da Conceição Penha,,Vasco da Gama/RJ
18:00,1T,10,NR,Hugo Henrique Assis do Nascimento,,Goiás/GO
11:00,2T,5,NR,William Jose de Souza,,Goiás/GO
34:00,2T,93,NR,Willie Hortencio Barbosa,,Vasco da Gama/RJ
"",,,,Cartões Amarelos,
Tempo,1T/2T,No,Nome do Jogador,,Equipe
29:00,1T,84,Sandro Laurindo da Silva,,Vasco da Gama/RJ
"",,,Motivo: Calçar o adversário,,
43:00,1T,5,William Jose de Souza,,Goiás/GO
"",,,Motivo: Impedir a reposição de bola do goleiro adversário.,,
39:00,2T,10,Pedro Ken Marimoto Moreira,,Vasco da Gama/RJ
"",,,Motivo: Calçar o adversário,,
"",,,,Cartões Vermelhos,
"",,,,NÃO HOUVE EXPULSÕES,
