"",,Arbitragem
Arbitro:,Anderson Daronco (FIFA / RS),
Arbitro Assistente 1:,Bruno Raphael Pires (FIFA / GO),
Arbitro Assistente 2:,Alexandre A Pruinelli Kleiniche (CBF-1 / RS),
Quarto Arbitro:,Edivaldo Elias da Silva (CBF-2 / PR),
Delegado Local:,Silvia de Lima Matioski (000 / ),
"",,,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,,
Entrada do mandante:,17:52Atraso:,,2 min,Entrada do mandante: 19:02,Atraso:,,Não Houve
Entrada do visitante:,17:52Atraso:,,2 min,Entrada do visitante: 19:02,Atraso:,,Não Houve
Início 1o Tempo:,18:02 Atraso:,,2 min,Início do 2o Tempo: 19:04,Atraso:,,Não Houve
Término do 1o Tempo:,18:49 Acréscimo:,,2 min,Término do 2o Tempo: 19:53,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,,Resultado Final: 1 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Atlético / PR,,,Santos / SP,,
No,Apelido,Nome Completo T/R P/A,,CBF No Apelido,Nome Completo,T/R P/A,CBF
12,Weverton,Weverton Pereira da  ...,T P,169050 1 Vanderlei,Vanderlei Farias da ...,T P,177770
5,Deivid,Deivid Willian da Silva,T P,182609 2 Luiz,Luiz Felipe do Nasci...,T P,354299
7,Otavio,Otavio Henrique Pass ...,T P,320930 4 Victor,Victor Ferraz Macedo,T P,170272
8,Sidcley,Sidcley Ferreira Pereira,T P,355990 8 Renato,Renato Dirnei Florencio,T P,123823
13,Paulo Andre,Paulo Andre Cren Benini,T P,155991 10 Gabriel B.,Gabriel Barbosa Almeida,T P,337830
18,Walter,Walter Henrique da Silva,T P,179832 18 Vitor,Vitor Frezarin Bueno,T P,322748
32,Giovanny,Giovanny Bariani Marques,T P,436545 25 Yuri,Yuri Oliveira Lima,T P,307979
33,Leonardo,Leonardo Moreira Morais,T P,303922 27 Leonardo,Leonardo Cittadini,T P,321574
44,Thiago Hel ...,Thiago Heleno Henriq ...,T P,171788 29 Thiago,Thiago Maia Alencar,T P,384124
96,Ewandro,Ewandro Felipe de Li ...,T P,344841 30 Joel,Diederrick Joel Tagu...,T P,402984
99,Andre Lima,Andre Luiz Barretto  ...,T P,154497 37 Jose,Jose Carlos Cracco Neto,T P,294382
2,Eduardo,Carlos Eduardo Santo ...,R P,170077 3 Wanderson,Wanderson de Jesus M...,R P,445012
19,Wanderson,Wanderson Santos Pereira,R P,300394 5 Alison,Alison Lopes Ferreira,R P,308980
21,Joao,Joao Pedro Heinen Silva,R P,380762 11 Elano,Elano Blumer,R P,137518
23,Hernani,Hernani Azevedo Junior,R P,310312 17 Rafael,Rafael Vinicius Carv...,R P,183844
29,Vinicius,Vinicius Goes Barbos ...,R P,294769 23 Ronaldo,Ronaldo Cesar Mendes...,R P,350039
52,Rodolfo,Rodolfo Alves de Melo,R P,181632 26 Paulinho,Paulo Luiz Beraldo S...,R P,185974
77,Anderson,Anderson Jose Lopes  ...,R P,296337 31 Maxi Rolon,Maximiliano Brian Rolon,R P,542329
91,Barrientos,Fernando Omar Barrientos,R P,533672 33 John,John Victor Maciel F...,R P,385767
92,Pablo,Pablo Felipe Teixeira,R P,307317 36 Diogo,Diogo Vitor da Cruz,R P,355673
97,Nicolas,Nicolas Vichiatto da ...,R P,406246 38 Daniel,Daniel Guedes da Silva,R P,317780
"",,,,39 Sousa,Jean Mota Oliveira d...,R P,331842
"",,,,41 Sergio,Sergio Antonio Soler...,R P,328835
"",,Comissão Técnica
"",Atlético / PR,Santos / SP
Auxiliar Técnico:,Bruno Marques Fernandes Pivetti - 435747435,Técnico: Dorival Silvestre Junior - 12969204
Preparador De GoleiroL:u ciano De Oliveira Junior - 465124461,,Auxiliar Técnico: Lucas Khodor Silvestre - 46064752
Preparador Físico:,Marcio Henriques - 2415G/PR,Médico: Ricardo De Serro Azul Nobre - 116120
Médico:,Murilo Marcondes Ribas - 13124,Preparador Físico: Celso De Rezende - 3756-G/SC
Técnico:,Paulo Autuori De Mello - 3191111,Massagista: José Augusto Dos Santos - 545076833
Massagista:,Gabriel Amorim Ramos - 201867-F,Preparador De GoleiroS:e bastião Martins De Oliveira Junior - 18937432
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
43:00,2T,13,NR,Paulo Andre Cren Benini,,Atlético/PR
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
13:00,2T,Atlético/PR,,29 - Vinicius Goes Barbosa de  ...,18 - Walter Henrique da Silva
18:00,2T,Atlético/PR,,77 - Anderson Jose Lopes de So ...,32 - Giovanny Bariani Marques
27:00,2T,Santos/SP,,26 - Paulo Luiz Beraldo Santos ...,27 - Leonardo Cittadini
28:00,2T,Atlético/PR,,92 - Pablo Felipe Teixeira,96 - Ewandro Felipe de Lima Co ...
30:00,2T,Santos/SP,,36 - Diogo Vitor da Cruz,30 - Diederrick Joel Tagueu Ta ...
39:00,2T,Santos/SP,,5 - Alison Lopes Ferreira,29 - Thiago Maia Alencar
