"",Arbitragem
Arbitro:,Francisco Carlos do Nascimento (FIFA / AL)
Arbitro Assistente 1:,Luiz Carlos Silva Teixeira (CBF-1 / BA)
Arbitro Assistente 2:,Adson Marcio Lopes Leal (CBF-1 / BA)
Quarto Arbitro:,Leandro Junior Hermes (CBF-1 / PR)
Assessor:,Afonso Vitor de Oliveira (  / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,16:10Atraso:,,Não Houve Entrada do mandante: 17:20,Atraso:,,Não Houve
Entrada do visitante:,16:13Atraso:,,Não Houve Entrada do visitante: 17:21,Atraso:,,Não Houve
Início 1o Tempo:,16:20 Atraso:,,Não Houve Início do 2o Tempo: 17:22,Atraso:,,Não Houve
Término do 1o Tempo:,17:07 Acréscimo:,,2 min Término do 2o Tempo: 18:11,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 1 X 1,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,16:10,Atraso:,Não Houve Entrada do mandante:,17:20,Atraso:,Não Houve
Início 1o Tempo:,16:20,Atraso:,Não Houve,Início do 2o Tempo:,17:22,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Luis,Luis Carlos Dallastella,T P,168281,25,Fernando,Fernando Buttenbende...,T P,137377
"",,Comissão Técnica,
"",Paraná / PR,,Palmeiras / SP
Tecnico:,Luiz Eduardo Barros Cavalcanti - 2281-G/PE,Tecnico:,Gilson Kleina - 36328541
Auxiliar Tecnico:,Edinelson Da Conceição  - 6006-P/PR,Auxiliar Tecnico:,Jair Alves Leite - 2361926
Medico:,Roberto Tauchmann - 24729/PR,Medico:,Otávio De Vilhena Reis Teixeira - 93926
Preparador Fisico:,Frederico Peetean Pozzebon - 71197-G/SP,Preparador Fisico:,Carlos Fabiano Mazzolla Vieira - 15862
Massagista:,Oilson Leopoldino Sutil - 522844,Massagista:,Sérgio Luiz De Oliveira - 148264839
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
36:00,1T,Paraná/PR,,17 - Henrique Avila da Silva,6 - Paulo Cesar Elias
16:00,2T,Palmeiras/SP,,27 - Ananias Eloi Castro Monte ...,42 - Luis Felipe Dias do Nasci ...
18:00,2T,Paraná/PR,,18 - Paulo Cesar Oliveira dos  ...,8 - Ricardo Renato de Conceic ...
26:00,2T,Paraná/PR,,19 - Carlos Antonio de Souza J ...,11 - Kayke Moreno de Andrade R ...
32:00,2T,Palmeiras/SP,,31 - Leonardo David de Moura,11 - Wesley Lopes Beltrame
41:00,2T,Palmeiras/SP,,6 - Evanildo Borges Barbosa J ...,26 - Marcelo Oliveira Ferreira ...
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
38:00,2T,5,NR,Edson Feleciano Sitta,,Paraná/PR
43:00,2T,38,NR,Weverson Leandro Oliveira Moura,,Palmeiras/SP
"",,,,Cartões Amarelos,
Tempo,1T/2T,No,Nome do Jogador,,Equipe
19:00,1T,5,Sebastian Eguren Ledesma,,Palmeiras/SP
"",,,Motivo: Empurrar adversário na disputa de bola.,,
26:00,1T,8,Ricardo Renato de Conceicao,,Paraná/PR
"",,,Motivo: Calçar adversario na disputa de bola.,,
01:00,2T,3,Henrique Adriano Buss,,Palmeiras/SP
"",,,Motivo: Reclamar contra minhas decisões.,,
09:00,2T,17,Henrique Avila da Silva,,Paraná/PR
"",,,Motivo: Calçar adversário na disputa de bola.,,
10:00,2T,14,Alan Kardec de Souza Pereira Junior,,Palmeiras/SP
"",,,Motivo: Puxar adversário pela camisa.,,
19:00,2T,26,Marcelo Oliveira Ferreira,,Palmeiras/SP
"",,,Motivo: Calçar adversário na disputa de bola.,,
32:00,2T,10,Lucio Flavio dos Santos,,Paraná/PR
"",,,Motivo: Reclamar contra minhas decisões.,,
38:00,2T,9,Juan Jose Morales,,Paraná/PR
"",,,Motivo: Conduta antidesportiva.,,
"",,,,Cartões Vermelhos,
"",,,,NÃO HOUVE EXPULSÕES,
