"",Arbitragem
Arbitro:,Arilson Bispo da Anunciacao (ESP / BA)
Arbitro Assistente 1:,Arnaldo Rodrigues de Souza (CBF-1 / CE)
Arbitro Assistente 2:,Anderson Silveira Ribeiro (CBF-2 / )
Quarto Arbitro:,Caio Max Augusto Vieira (CBF-2 / )
Assessor:,Arnaldo Andrade Carvalho (  / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,21:48Atraso:,,Não Houve Entrada do mandante: 22:50,Atraso:,,Não Houve
Entrada do visitante:,21:40Atraso:,,Não Houve Entrada do visitante: 22:48,Atraso:,,Não Houve
Início 1o Tempo:,21:50 Atraso:,,Não Houve Início do 2o Tempo: 22:52,Atraso:,,Não Houve
Término do 1o Tempo:,22:37 Acréscimo:,,2 min Término do 2o Tempo: 23:40,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 2 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,21:48,Atraso:,Não Houve Entrada do mandante:,22:50,Atraso:,Não Houve
Início 1o Tempo:,21:50,Atraso:,Não Houve,Início do 2o Tempo:,22:52,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Wilson,Wilson Raimundo Junior,T P,127151,1,Rafael,Rafael de Carvalho S...,T P,177436
"",,Comissão Técnica,
"",A.b.c. / RN,,São Caetano / SP
Tecnico:,Jose Roberto Fernandes Barros - 3701706,Tecnico:,Luis Carlos Oliveira Preto - 14538337
Auxiliar Tecnico:,Jose Do Carmo Silva Filho - 1891304,Auxiliar Tecnico:,Adelino Pereira De Camargo Neto - 199239757
Medico:,Gaugefran Jose Guedes De Souza - 3333,Medico:,Alberto De Azevedo Alves Teixeira - 41867
Preparador Fisico:,Ranielle Damasceno Ribeiro - 442-G/RN,Preparador Fisico:,Jose Roberto Portella Carneiro - 5979-G/SP
Massagista:,Janilson Ribeiro Dos Santos - 713137,Massagista:,Antonio Flavio De Lima  - 18628923
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,São Caetano/SP,15 - Fabio Alves Felix,8 - Anselmo de Moraes
16:00,2T,São Caetano/SP,19 - Marcelo Gomes Soares,10 - Danilo Petrolli Bueno
25:00,2T,São Caetano/SP,20 - Bruno Veiga Mattos,2 - Samuel Xavier Brito
27:00,2T,A.b.c./RN,15 - Rodolfo Custodio Testoni,6 - Christofoly Acioly da Sil ...
30:00,2T,A.b.c./RN,19 - Álvaro Felipe da Silva,11 - Mauro Job Pontes Junior
43:00,2T,A.b.c./RN,14 - Sergio Luis Rodrigues da  ...,10 - Jorge de Araujo Soares Ju ...
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
14:00,2T,4,NR,Leandro Lino de Freitas,,A.b.c./RN
27:00,2T,10,NR,Jorge de Araujo Soares Junior,,A.b.c./RN
"",,,,Cartões Amarelos,
Tempo,1T/2T,No,Nome do Jogador,,Equipe
38:00,1T,8,Anselmo de Moraes,,São Caetano/SP
"",,,Motivo: Calçar o adversário.,,
44:00,1T,11,Mauro Job Pontes Junior,,A.b.c./RN
"",,,Motivo: Segurar o adversário .,,
24:00,2T,11,Eder Marcelo Prudencio,,São Caetano/SP
"",,,Motivo: Atitude antidesportiva.,,
25:00,2T,2,Paulo Rogerio Reis Silva,,A.b.c./RN
"",,,Motivo: Calçar o adversário.,,
33:00,2T,1,Rafael de Carvalho Santos,,São Caetano/SP
"",,,Motivo: Empurrar o adversário.,,
33:00,2T,15,Fabio Alves Felix,,São Caetano/SP
"",,,Motivo: Caçar o adversário.,,
33:00,2T,10,Jorge de Araujo Soares Junior,,A.b.c./RN
"",,,Motivo: Empurrar o adversário.,,
39:00,2T,20,Bruno Veiga Mattos,,São Caetano/SP
"",,,Motivo: Calçar o adversário.,,
+01:00,1T,2,Samuel Xavier Brito,,São Caetano/SP
"",,,Motivo: Calçar o adversário.,,
"",,,,Cartões Vermelhos,
"",,,,NÃO HOUVE EXPULSÕES,
