"",Arbitragem
Arbitro:,Jean Pierre Goncalves Lima (CBF-1 / RS)
Arbitro Assistente 1:,Jose Javel Silveira (CBF-1 / RS)
Arbitro Assistente 2:,Fabio Rogerio Baesteiro (CBF-2 / SP)
Quarto Arbitro:,Ronan Marques da Rosa (CBF-1 / SC)
Delegado:,Paulo Cesar Pereira de Freitas (  / MS)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,19:20Atraso:,,Não Houve Entrada do mandante: 20:30,Atraso:,,Não Houve
Entrada do visitante:,19:20Atraso:,,Não Houve Entrada do visitante: 20:30,Atraso:,,Não Houve
Início 1o Tempo:,19:30 Atraso:,,Não Houve Início do 2o Tempo: 20:32,Atraso:,,Não Houve
Término do 1o Tempo:,20:17 Acréscimo:,,2 min Término do 2o Tempo: 21:19,Acréscimo:,,2 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 2 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,19:20,Atraso:,Não Houve Entrada do mandante:,20:30,Atraso:,Não Houve
Início 1o Tempo:,19:30,Atraso:,Não Houve,Início do 2o Tempo:,20:32,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Tiago Volpi,Tiago Luis Volpi,T P,291584,12,Marcos,Marcos Vinicius Frag...,T P,172262
"",,Comissão Técnica,
"",Figueirense / SC,,A.s.a. / AL
Tecnico:,Vinicius Soares Eutropio - 3333419/ MG,Tecnico:,Heron Ricardo Ferreira - 041321928
Auxiliar Tecnico:,Hudson Jose Coutinho  - 3080087/ SC,Auxiliar Tecnico:,Gabriel Gaudi Peixoto - 030807
Medico:,Vinicius Peres Simas - 3083/ SC,Medico:,Helly Carlos De Alburquerque Santos - 5225/ AL
Preparador Fisico:,Marcos De Seixas Correa - 099343600/ RJ,Preparador Fisico:,Gabriel Gaudi Peixoto - 030807
Massagista:,Fabiano Barsbosa - 23074159/ SC,Massagista:,Adalberto De Oliveira Silva  - 881782/ AL
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
45:00,INT,A.s.a./AL,,14 - Jose Carlos de Magalhaes  ...,5 - Glauber Daniel Rosa
16:00,2T,A.s.a./AL,,19 - Cicero dos Santos,8 - Sidney Basilio da Silva
19:00,2T,A.s.a./AL,,17 - Wanderson de Macedo Costa ...,10 - Diego da Silva Rosa
22:00,2T,Figueirense/SC,,16 - Jose Roberto de Oliveira,7 - Pablo Felipe Teixeira
32:00,2T,Figueirense/SC,,14 - Rogisvaldo Joao dos Santo ...,10 - Maylson Barbosa Teixeira
44:00,2T,Figueirense/SC,,20 - Ricardo Alves Pereira,11 - Everton Leandro dos Santo ...
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
23:00,1T,7,NR,Pablo Felipe Teixeira,,Figueirense/SC
38:00,2T,11,NR,Everton Leandro dos Santos Pinto,,Figueirense/SC
"",,,,Cartões Amarelos,
Tempo,1T/2T,No,Nome do Jogador,,Equipe
13:00,1T,7,Pablo Felipe Teixeira,,Figueirense/SC
"",,,Motivo: Calçar adversário.,,
42:00,1T,5,Glauber Daniel Rosa,,A.s.a./AL
"",,,Motivo: Calçar adversário.,,
08:00,2T,8,Sidney Basilio da Silva,,A.s.a./AL
"",,,Motivo: Calçar adversário.,,
12:00,2T,6,Samuel Firmino de Jesus,,A.s.a./AL
"",,,Motivo: Calçar adversário.,,
14:00,2T,4,Cassio Alessandro de Souza,,A.s.a./AL
"",,,Motivo: Calçar adversário.,,
32:00,2T,9,Elionar Nascimento Ribeiro,,A.s.a./AL
"",,,Motivo: Reclamar com  a arbitragem.,,
"",,,,Cartões Vermelhos,
"",,,,NÃO HOUVE EXPULSÕES,
