"",Arbitragem
Arbitro:,Grazianni Maciel Rocha (CBF-1 / RJ)
Arbitro Assistente 1:,Luiz Claudio Regazone (CBF-1 / RJ)
Arbitro Assistente 2:,Rener Santos de Carvalho (CBF-2 / AC)
Quarto Arbitro:,Thiago Duarte Peixoto (CBF-2 / SP)
Delegado:,Paulo Jorge Alves (  / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,20:52Atraso:,,Não Houve Entrada do mandante: 21:59,Atraso:,,Não Houve
Entrada do visitante:,20:53Atraso:,,Não Houve Entrada do visitante: 22:00,Atraso:,,Não Houve
Início 1o Tempo:,21:00 Atraso:,,Não Houve Início do 2o Tempo: 22:01,Atraso:,,Não Houve
Término do 1o Tempo:,21:46 Acréscimo:,,1 min Término do 2o Tempo: 22:49,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 1,,,Resultado Final: 2 X 2,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,20:52,Atraso:,Não Houve Entrada do mandante:,21:59,Atraso:,Não Houve
Início 1o Tempo:,21:00,Atraso:,Não Houve,Início do 2o Tempo:,22:01,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Rafael,Rafael de Carvalho S ...,T P,177436,1,Andrey,Andrey Nazario Afonso,T P,146153
"",,Comissão Técnica,
"",São Caetano / SP,,América / RN
Tecnico:,Luiz Carlos De Oliveira Preto - 14538337,Tecnico:,Lendro Ribeiro Sena - cref2922-grn
Auxiliar Tecnico:,Adelino Pereira Camargo Neto - 19923975-7,Auxiliar Tecnico:,Carlos Moura Dourado - 553293df
Medico:,Paulo Donizetti Forte75130 - 75130,Medico:,Maeterlingck Rego Mendes - 715RN
Preparador Fisico:,Jose Roberto Portella Carneiro - 5979-gsp,Preparador Fisico:,Rogerio Juidecce De Souza - 4306-gSP
Massagista:,Antonio Flavio De Lima - 18628923,Massagista:,Jose Thiago Gomes De Freitas - 2155402RN
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
10:00,2T,São Caetano/SP,19 - Bruno Veiga Mattos,10 - Danilo Petrolli Bueno
16:00,2T,América/RN,16 - Antonio Givanildo da Silv ...,11 - Rodrigo Pimpao Viana
23:00,2T,São Caetano/SP,16 - Pedro Carmona da Silva Ne ...,6 - Renan Luis Neves dos Sant ...
25:00,2T,América/RN,13 - José Antonio Horacio de L ...,4 - Edson Rocha
31:00,2T,América/RN,15 - Paulo Francisco da Silva  ...,10 - Regis Augusto Salmazzo
34:00,2T,São Caetano/SP,20 - Marcelo Gomes Soares,11 - Eder Marcelo Prudencio
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
17:00,1T,9,NR,Antonio Adriano Antunes de Paula,,América/RN
11:00,2T,6,NR,Wanderson Carvalho Oliveira,,América/RN
21:00,2T,9,PN,Giancarlo da Silva Moro,,São Caetano/SP
41:00,2T,16,NR,Pedro Carmona da Silva Neto,,São Caetano/SP
"",,,,Cartões Amarelos,
Tempo,1T/2T,No,Nome do Jogador,,Equipe
27:00,1T,19,Bruno Veiga Mattos,,São Caetano/SP
"",,,Motivo: Reclamaçao a arbitragem,,
37:00,1T,3,Wagner Luiz Fogolari,,São Caetano/SP
"",,,Motivo: Calçar o adversario,,
42:00,1T,11,Eder Marcelo Prudencio,,São Caetano/SP
"",,,Motivo: Reclamaçao a arbitargem,,
07:00,2T,4,Luiz Eduardo Rodrigues,,São Caetano/SP
"",,,Motivo: Calçar o adversario,,
08:00,2T,5,Marcio Henrique Maia Passos,,América/RN
"",,,Motivo: Calçar o adversario,,
20:00,2T,6,Wanderson Carvalho Oliveira,,América/RN
"",,,Motivo: Calçar o adversario,,
32:00,2T,1,Andrey Nazario Afonso,,América/RN
"",,,Motivo: Retardar o reinicio da partida,,
45:00,2T,2,Samuel Xavier Brito,,São Caetano/SP
"",,,Motivo: Agarrar o adversario,,
+01:00,2T,16,Antonio Givanildo da Silva Santos,,América/RN
"",,,Motivo: Reclamaçao a arbitragem,,
"",,,,Cartões Vermelhos,
"",,,NÃO HOUVE EXPULSÕES,,
