"",Arbitragem
Arbitro:,Eduardo de Santana Nunes (CBF-2 / SE)
Arbitro Assistente 1:,Wendel Augusto Lino de Jesus Melo (CBF-2 / SE)
Arbitro Assistente 2:,Joao Carlos de Jesus Santos (CBF-2 / SE)
Quarto Arbitro:,Flavio Feijo de Omena (CBF-2 / AL)
Assessor:,Alton Olimpio da Silva (ASS / AL)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:50Atraso:,,Não Houve Entrada do mandante: 16:59,Atraso:,,Não Houve
Entrada do visitante:,15:49Atraso:,,Não Houve Entrada do visitante: 16:59,Atraso:,,Não Houve
Início 1o Tempo:,16:00 Atraso:,,Não Houve Início do 2o Tempo: 17:01,Atraso:,,Não Houve
Término do 1o Tempo:,16:46 Acréscimo:,,1 min Término do 2o Tempo: 17:49,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Coruripe / AL,,,Campinense / PB,,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,Santos,Jose dos Santos,T P,148784 1 Rodrigo,Rodrigo Fernando Pac...,T P,156097
2,Ivan,Jose Ivan Aureliano  ...,T P,163879 2 Gustavo,Jose Gustavo Pereira...,T P,187568
3,Leandro,Leandro Carlos dos S ...,T P,123554 3 Italo,Italo Anderson Duart...,T P,178201
4,Jonny,Jonny Victor de Souz ...,T P,178326 4 Edson,Edson Moreira dos Santos,T P,154090
5,Jair,Jair Soares de Amaral,T P,342414 5 Sidney,Sidney Basilio da Silva,T P,150452
6,Renatinho,Renato Jose Franceli ...,T P,140072 6 Panda,Marcio Gama Moreira,T P,164658
7,Mazinho,Jose Osmar Ventura d ...,T P,326805 7 Marielson,Marielson Paulo Tava...,T P,156912
8,Paulo,Joao Paulo da Silva  ...,T P,371170 8 Julio Cesar,Julio Cesar Zabotto,T P,160355
9,Denilson,Denilson Martins Nas ...,T P,364619 9 Tiago,Tiago Oliveira de Souza,T P,172206
10,Aurelio,Aurelio Paulo Dias d ...,T P,332077 10 Bismarck,Bismarck Vinicius Fr...,T P,184256
11,Alexsandro,Alexsandro Ribeiro d ...,T P,151440 11 Ze Paulo,Jose Paulo dos Santos,T P,169694
12,Batista,Jhonata Ladislau Bat ...,R P,172041 12 Ivan,Ivan Leoncio Amorim,R P,185549
13,Renato,Renatos dos Santos,R P,188554 14 Silvio,Silvio Severino da Silva,R P,188156
14,Willa,Willames Jose da Silva,R P,364346 15 Junior,Junior Menezes Busnello,R P,295574
15,Thiago Papel,Thiago Santos de Melo,R P,295711 16 Danilo,Danilo Moura da Silva,R P,318135
16,Koffi,Koffi Prosper,R P,366270 17 Bruno,Carpegianni Bruno Vi...,R P,165234
17,Fabricio d ...,Fabricio de Souza Santos,R P,447364 18 Eduardo,Eduardo da Silva Med...,R P,303189
18,Leo Maceio,Leonardo de Magalhae ...,R P,170274 20 Leo Paraiba,Leonilson da Silva M...,R P,307827
19,Andrey,Andrey Soares Almeida,R P,341396 21 Jonathan,Jonathan Rafael da Silva,R P,305820
20,Edmar,Edmar dos Santos Oli ...,R P,174444,,,
"",,Comissão Técnica,
"",Coruripe / AL,,Campinense / PB
Tecnico:,Jaelson Marcelino Alves - 1572704/AL,Tecnico:,Natazilio Freitas Nascimento - 43830444/BA
Auxiliar Tecnico:,Antonino Lessa Santos - 416560/AL,Auxiliar Tecnico:,Roberio Epaminondas De Souza - 2705869/PB
Medico:,Marcio Roberto Vieira De Soua - 921,Medico:,Daniel Guerra Araujo - 5149
Preparador Fisico:,Herisson De Morais Rodrigo Albuquerque - 576,Preparador Fisico:,Rodrigo Carvalho Soares - 008583-G/RS
Massagista:,Edilson Gomes Da Silva - 1337720/AL,Massagista:,Edson Goncalves Da Luz - 5928279/PE
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Campinense/PB,17 - Carpegianni Bruno Vicente ...,8 - Julio Cesar Zabotto
45:00,INT,Campinense/PB,21 - Jonathan Rafael da Silva,11 - Jose Paulo dos Santos
11:00,2T,Coruripe/AL,13 - Renatos dos Santos,11 - Alexsandro Ribeiro da Sil ...
23:00,2T,Coruripe/AL,20 - Edmar dos Santos Oliveira ...,6 - Renato Jose Francelino Ne ...
40:00,2T,Campinense/PB,18 - Eduardo da Silva Medeiros ...,10 - Bismarck Vinicius Freire  ...
